date,admissions
2018-01-07,200
2018-01-14,195
2018-01-21,200
2018-01-28,202
2018-02-04,168
2018-02-11,158
2018-02-18,163
2018-02-25,158
2018-03-04,159
2018-03-11,148
2018-03-18,164
2018-03-25,168
2018-04-01,165
2018-04-08,178
2018-04-15,176
2018-04-22,163
2018-04-29,172
2018-05-06,159
2018-05-13,177
2018-05-20,174
2018-05-27,176
2018-06-03,172
2018-06-10,195
2018-06-17,190
2018-06-24,191
2018-07-01,193
2018-07-08,206
2018-07-15,213
2018-07-22,221
2018-07-29,227
2018-08-05,254
2018-08-12,239
2018-08-19,237
2018-08-26,230
2018-09-02,243
2018-09-09,255
2018-09-16,249
2018-09-23,240
2018-09-30,234
2018-10-07,246
2018-10-14,252
2018-10-21,254
2018-10-28,241
2018-11-04,244
2018-11-11,241
2018-11-18,240
2018-11-25,245
2018-12-02,238
2018-12-09,240
2018-12-16,230
2018-12-23,227
2018-12-30,226
2019-01-06,198
2019-01-13,196
2019-01-20,187
2019-01-27,178
2019-02-03,175
2019-02-10,192
2019-02-17,171
2019-02-24,185
2019-03-03,156
2019-03-10,160
2019-03-17,162
2019-03-24,169
2019-03-31,175
2019-04-07,180
2019-04-14,171
2019-04-21,167
2019-04-28,180
2019-05-05,174
2019-05-12,162
2019-05-19,158
2019-05-26,158
2019-06-02,175
2019-06-09,181
2019-06-16,196
2019-06-23,193
2019-06-30,203
2019-07-07,214
2019-07-14,212
2019-07-21,224
2019-07-28,217
2019-08-04,221
2019-08-11,223
2019-08-18,215
2019-08-25,233
2019-09-01,229
2019-09-08,237
2019-09-15,246
2019-09-22,252
2019-09-29,259
2019-10-06,254
2019-10-13,248
2019-10-20,248
2019-10-27,226
2019-11-03,217
2019-11-10,209
2019-11-17,205
2019-11-24,217
2019-12-01,205
2019-12-08,207
2019-12-15,223
2019-12-22,211
2019-12-29,219
2020-01-05,199
2020-01-12,199
2020-01-19,184
2020-01-26,182
2020-02-02,192
2020-02-09,164
2020-02-16,178
2020-02-23,176
2020-03-01,167
2020-03-08,152
2020-03-15,161
2020-03-22,155
2020-03-29,163
2020-04-05,164
2020-04-12,186
2020-04-19,175
2020-04-26,166
2020-05-03,175
2020-05-10,179
2020-05-17,198
2020-05-24,204
2020-05-31,206
2020-06-07,223
2020-06-14,202
2020-06-21,203
2020-06-28,198
2020-07-05,203
2020-07-12,194
2020-07-19,217
2020-07-26,217
2020-08-02,208
2020-08-09,210
2020-08-16,226
2020-08-23,241
2020-08-30,267
2020-09-06,294
2020-09-13,283
2020-09-20,266
2020-09-27,241
2020-10-04,254
2020-10-11,241
2020-10-18,242
2020-10-25,236
2020-11-01,238
2020-11-08,251
2020-11-15,246
2020-11-22,241
2020-11-29,225
2020-12-06,207
2020-12-13,208
2020-12-20,208
2020-12-27,229
2021-01-03,218
2021-01-10,221
2021-01-17,200
2021-01-24,179
2021-01-31,164
2021-02-07,153
2021-02-14,177
2021-02-21,149
2021-02-28,162
2021-03-07,143
2021-03-14,158
2021-03-21,155
2021-03-28,151
2021-04-04,150
2021-04-11,142
2021-04-18,151
2021-04-25,145
2021-05-02,135
2021-05-09,130
2021-05-16,144
2021-05-23,168
2021-05-30,168
2021-06-06,171
2021-06-13,178
2021-06-20,197
2021-06-27,196
2021-07-04,193
2021-07-11,211
2021-07-18,213
2021-07-25,232
2021-08-01,227
2021-08-08,213
2021-08-15,204
2021-08-22,233
2021-08-29,247
2021-09-05,238
2021-09-12,234
2021-09-19,252
2021-09-26,229
2021-10-03,224
2021-10-10,234
2021-10-17,225
2021-10-24,226
2021-10-31,222
2021-11-07,225
2021-11-14,237
2021-11-21,227
2021-11-28,229
2021-12-05,195
2021-12-12,200
2021-12-19,185
2021-12-26,172
2022-01-02,166
2022-01-09,165
2022-01-16,177
2022-01-23,154
2022-01-30,161
2022-02-06,152
2022-02-13,150
2022-02-20,163
2022-02-27,163
2022-03-06,175
2022-03-13,163
2022-03-20,153
2022-03-27,151
2022-04-03,154
2022-04-10,155
2022-04-17,142
2022-04-24,151
2022-05-01,156
2022-05-08,188
2022-05-15,199
2022-05-22,180
2022-05-29,181
2022-06-05,165
2022-06-12,169
2022-06-19,181
2022-06-26,200
2022-07-03,190
2022-07-10,191
2022-07-17,173
2022-07-24,189
2022-07-31,184
2022-08-07,192
2022-08-14,192
2022-08-21,204
2022-08-28,190
2022-09-04,190
2022-09-11,230
2022-09-18,209
2022-09-25,209
2022-10-02,239
2022-10-09,266
2022-10-16,236
2022-10-23,236
2022-10-30,237
2022-11-06,253
2022-11-13,227
2022-11-20,225
2022-11-27,229
2022-12-04,226
2022-12-11,213
2022-12-18,208
2022-12-25,186
2023-01-01,186
2023-01-08,180
2023-01-15,182
2023-01-22,171
2023-01-29,177
2023-02-05,183
2023-02-12,177
2023-02-19,176
2023-02-26,170
2023-03-05,167
2023-03-12,155
2023-03-19,161
2023-03-26,157
2023-04-02,182
2023-04-09,189
2023-04-16,184
2023-04-23,170
2023-04-30,159
2023-05-07,179
2023-05-14,178
2023-05-21,185
2023-05-28,163
2023-06-04,187
2023-06-11,191
2023-06-18,180
2023-06-25,185
2023-07-02,196
2023-07-09,201
2023-07-16,203
2023-07-23,209
2023-07-30,211
2023-08-06,220
2023-08-13,241
2023-08-20,206
2023-08-27,221
2023-09-03,227
2023-09-10,234
2023-09-17,231
2023-09-24,214
2023-10-01,230
2023-10-08,250
2023-10-15,224
2023-10-22,242
2023-10-29,231
2023-11-05,231
2023-11-12,216
2023-11-19,215
2023-11-26,230
2023-12-03,227
2023-12-10,241
2023-12-17,239
2023-12-24,231
