date,admissions
2016-01-01,350
2016-02-01,305
2016-03-01,304
2016-04-01,308
2016-05-01,277
2016-06-01,294
2016-07-01,343
2016-08-01,375
2016-09-01,402
2016-10-01,400
2016-11-01,414
2016-12-01,400
2017-01-01,363
2017-02-01,346
2017-03-01,320
2017-04-01,291
2017-05-01,309
2017-06-01,315
2017-07-01,367
2017-08-01,392
2017-09-01,410
2017-10-01,410
2017-11-01,427
2017-12-01,395
2018-01-01,357
2018-02-01,325
2018-03-01,316
2018-04-01,311
2018-05-01,321
2018-06-01,345
2018-07-01,401
2018-08-01,404
2018-09-01,414
2018-10-01,413
2018-11-01,423
2018-12-01,416
2019-01-01,374
2019-02-01,328
2019-03-01,301
2019-04-01,313
2019-05-01,330
2019-06-01,354
2019-07-01,366
2019-08-01,403
2019-09-01,426
2019-10-01,437
2019-11-01,440
2019-12-01,413
2020-01-01,388
2020-02-01,351
2020-03-01,330
2020-04-01,328
2020-05-01,280
2020-06-01,280
2020-07-01,310
2020-08-01,338
2020-09-01,365
2020-10-01,402
2020-11-01,370
2020-12-01,367
2021-01-01,305
2021-02-01,282
2021-03-01,271
2021-04-01,274
2021-05-01,289
2021-06-01,315
2021-07-01,330
2021-08-01,352
2021-09-01,391
2021-10-01,391
2021-11-01,363
2021-12-01,336
2022-01-01,307
2022-02-01,300
2022-03-01,281
2022-04-01,283
2022-05-01,279
2022-06-01,305
2022-07-01,344
2022-08-01,364
2022-09-01,394
2022-10-01,388
2022-11-01,380
2022-12-01,357
